instalação,zona-olímpica,status,periodo,esportes,picto,custo,obs-custo,quem-paga,quem-executa,depois-dos-jogos,notícias,links-notícias,foto,latitude,longitude,capacidade,entrega-em
Parque Aquático Maria Lenk,Barra da Tijuca,Atenção,"13 a 19 de agosto,7 a 20 de agosto","Nado sincronizado, Saltos ornamentais","nado-sincronizado.png,saltos-ornamentais.png","R$ 32,7 milhões",,Prefeitura do Rio,Prefeitura do Rio,Centro Olímpico de Treinamento (COT),,,marialenk.jpg,-22.97426,-43.38790,5.300 lugares,1º trimestre de 2016
Estádio Aquático,Barra da Tijuca,Dentro do prazo,6 a 13 de agosto,Natação,natação.png,"R$ 217,1 milhões",,Governo Federal,Prefeitura do Rio,Estrutura será desmontada. Vai acomodar setores administrativos e de pesquisa do Centro Olímpico de Treinamento,,,Centro Aquatico - 2.jpg,-22.980800,-43.394958,18.000 lugares,1º trimestre de 2016
Centro Olímpico de Tênis,Barra da Tijuca,Atenção,6 a 14 de agosto,Tênis,tenis.png,"R$ 164,8 milhões",,Governo Federal,Prefeitura do Rio,Centro Olímpico de Treinamento (COT),Ministério do Trabalho embarga Centro de Tênis,http://oglobo.globo.com/esportes/ministerio-do-trabalho-embarga-centro-de-tenis-interdita-parcialmente-obras-do-velodromo-16010782,Centro de Tenis - 1.jpg,-22.975259,-43.394591,19.750 lugares,3º trimestre de 2015
Velódromo,Barra da Tijuca,Preocupante,11 a 16 de agosto,Ciclismo de pista,ciclismo-de-pista.png,R$ 118 milhões,,Governo Federal,Prefeitura do Rio,Centro Olímpico de Treinamento (COT),Ministério do Trabalho interdita parcilamente obras do Velódromo,http://oglobo.globo.com/esportes/ministerio-do-trabalho-embarga-centro-de-tenis-interdita-parcialmente-obras-do-velodromo-16010782,Velodromo externa 2.jpg,-22.975195,-43.392336,5.800 lugares,Março de 2016
Arena do Futuro,Barra da Tijuca,Dentro do prazo,6 a 21 de agosto,Handebol,handebol.png,R$ 121 milhões,,Governo Federal,Prefeitura do Rio,Material desmontável deverá ser usado na construção de 4 escolas municipais,,,Arena do Futuro - 2.jpg,-22.980442,-43.392.199,12.000 lugares,4º trimestre de 2015
Arena Carioca 1,Barra da Tijuca,Dentro do prazo,6 a 21 de agosto,Basquete,basquetebol.png,"R$ 1,68 bilhão*","Valor referente às Arenas 1, 2 e 3, instalações não esportivas e de domínio comum ",PPP: Prefeitura do Rio e iniciativa privada,Privado,Centro Olímpico de Treinamento,"Caixa libera financiamento de R$ 1,4 bilhão para Parque Olímpico",http://oglobo.globo.com/esportes/caixa-libera-financiamento-de-14-bilhao-para-parque-olimpico-16336209,Arenas Cariocas.jpg,-22.976439,-43.392319,16.000 lugares,3º trimestre de 2015
Arena Carioca 2,Barra da Tijuca,Dentro do prazo,"6 a 12 de agosto, 14 a 16 de agosto, 17 a 21 de agosto","Judô, Luta Greco-Romana, Luta Livre","judo.png,lutas.png,lutas.png","R$ 1,68 bilhão*","Valor referente às Arenas 1, 2 e 3, instalações não esportivas e de domínio comum ",PPP: Prefeitura do Rio e iniciativa privada,Privado,Centro Olímpico de Treinamento,"Caixa libera financiamento de R$ 1,4 bilhão para Parque Olímpico",http://oglobo.globo.com/esportes/caixa-libera-financiamento-de-14-bilhao-para-parque-olimpico-16336209,Arenas Cariocas.jpg,-22.977618,-43.392353,10.000 lugares,3º trimestre de 2015
Arena Carioca 3,Barra da Tijuca,Dentro do prazo,"6 a 14 de agosto, 17 a 20 de agosto","Esgrima, Taekwondo","esgrima.png,taekwondo.png","R$ 1,68 bilhão*","Valor referente às Arenas 1, 2 e 3, instalações não esportivas e de domínio comum ",PPP: Prefeitura do Rio e iniciativa privada,Privado,Centro Olímpico de Treinamento,"Caixa libera financiamento de R$ 1,4 bilhão para Parque Olímpico",http://oglobo.globo.com/esportes/caixa-libera-financiamento-de-14-bilhao-para-parque-olimpico-16336209,Arenas Cariocas.jpg,-22.978764,-43.392370,10.000 lugares,3º trimestre de 2015
Campo de Golfe Olímpico,Barra da Tijuca,Dentro do prazo,11 a 20 de agosto,Golfe,golfe.png,R$ 60 milhões,,Privado,Prefeitura do Rio,Espaço público para prática de golfe,Paes diz que denúncia sobre crime ambiental em construção de campo de golfe é 'baboseira',http://oglobo.globo.com/rio/paes-diz-que-denuncia-sobre-crime-ambiental-em-construcao-de-campo-de-golfe-baboseira-15693194,golfe.jpg,-23.00990,-43.40889,25.000 lugares,2º trimestre de 2016
Arena Olímpica Rio (HSBC) - adequação,Barra da Tijuca,Dentro do prazo,"6 a 16 de agosto,19 a 21 de agosto, 12 e 13 de agosto","Ginástica artística, Ginástica rítmica, Ginástica de trampolim","ginastica.png,ginastica-ritmica.png,ginastica-de-trampolim.png",Não definido,,Prefeitura do Rio,Prefeitura do Rio,Seguirá como arena multiuso,,,frente hsbc arena.jpg,-22.97550,-43.39048,12.000 lugares,-
